title,canonical_name,cuisine,score,version_rank,total_versions,ingredients_count,steps_count
家常酸辣粉,家常酸辣粉,川菜,0.595,1,1,10,16
宫保鸡丁,宫保鸡丁,川菜,0.925,1,6,17,12
宫保鸡丁,宫保鸡丁,川菜,0.8200000000000001,2,6,13,9
口水鸡,口水鸡,川菜,0.66125,1,2,12,10
口水鸡,口水鸡,川菜,0.64,2,2,11,7
蚂蚁上树,蚂蚁上树,川菜,0.6942857142857142,1,4,7,12
蚂蚁上树,蚂蚁上树,川菜,0.6107142857142858,2,4,7,6
家常味盐煎肉,家常味盐煎肉,川菜,0.735,1,1,7,11
下饭回锅肉,回锅肉,川菜,0.8049999999999999,1,2,8,10
双椒回锅肉,回锅肉,川菜,0.5850000000000001,2,2,7,8
经典川味担担面,经典担担面,川菜,0.5924999999999999,1,1,18,31
鱼香肉丝,鱼香肉丝,川菜,0.7749999999999999,1,5,14,11
鱼香肉丝,鱼香肉丝,川菜,0.7150000000000001,2,5,10,5
辣子鸡,辣子鸡,川菜,0.655,1,1,9,10
麻辣血旺,麻辣血旺,川菜,0.6372727272727273,1,1,11,15
水煮豆皮肉片,水煮豆皮肉片,川菜,0.6399999999999999,1,1,17,12
水煮牛肉,水煮牛肉,川菜,0.81,1,1,15,10
麻辣香锅,麻辣香锅,川菜,0.775,1,3,10,7
麻辣香锅,麻辣香锅,川菜,0.69625,2,3,8,8
自制串串香,自制串串香,川菜,0.656875,1,1,8,6
水煮鱼片,水煮鱼,川菜,0.78,1,2,15,10
水煮鱼,水煮鱼,川菜,0.5599999999999999,2,2,3,8
四川哨子面,四川哨子面,川菜,0.7449999999999999,1,1,11,15
家常钵钵鸡,家常钵钵鸡,川菜,0.5975,1,1,4,11
酸汤肥牛,酸汤肥牛,川菜,0.6734615384615384,1,1,13,28
麻婆豆腐,麻婆豆腐,川菜,0.7846428571428572,1,4,14,10
麻婆豆腐,麻婆豆腐,川菜,0.73,2,4,10,5
子姜鸭,子姜鸭,川菜,0.67375,1,1,8,12
麻辣豆腐,麻辣豆腐,川菜,0.8363636363636364,1,1,11,9
干煸四季豆,干煸四季豆,川菜,0.7374999999999999,1,1,6,10
泡椒兔肉,泡椒兔肉,川菜,0.63,1,1,5,6
鱼香肉末茄子煲,鱼香肉末茄子煲,川菜,0.8026923076923076,1,1,13,12
泡椒凤爪,泡椒凤爪,川菜,0.725,1,1,4,7
香辣五花肉,香辣五花肉,川菜,0.615,1,1,5,4
酸菜芋儿鸡,酸菜芋儿鸡,川菜,0.665,1,1,3,8
蒜苗五花肉,蒜苗五花肉,川菜,0.585,1,1,5,4
麻辣小火锅,麻辣小火锅,川菜,0.675,1,1,6,5
蒜香血粑,蒜香血粑,川菜,0.6300000000000001,1,1,5,6
四川辣椒油,四川辣椒油,川菜,0.7542857142857142,1,1,7,15
水煮肉片,水煮肉片,川菜,0.64,1,1,13,16
金汤肥牛,金汤肥牛,川菜,0.6333333333333333,1,1,9,14
钵钵鸡,钵钵鸡,川菜,0.7184615384615385,1,3,13,18
钵钵鸡,钵钵鸡,川菜,0.67,2,3,9,21
家常酸汤肥牛,家常酸汤肥牛,川菜,0.68,1,1,4,9
椒麻鸡,椒麻鸡,川菜,0.6975,1,1,6,16
烧白,烧白,川菜,0.54,1,1,6,12
宫保虾球,宫保虾球,川菜,0.7309375,1,1,16,20
酸菜桂花鱼,酸菜桂花鱼,川菜,0.7354545454545454,1,1,11,10
藤椒鸡,藤椒鸡,川菜,0.615,1,1,5,10
狼牙土豆,狼牙土豆,川菜,0.625,1,1,8,5
酸菜鱼,酸菜鱼,川菜,0.6475000000000001,1,1,6,6
香辣豆腐,香辣豆腐,川菜,0.675,1,1,6,7
川味凉拌猪腱子,凉拌猪腱子,川菜,0.698125,1,1,16,10
宫保鱼丁,宫保鱼丁,川菜,0.6043749999999999,1,1,8,15
腌笃鲜,腌笃鲜,徽菜,0.6900000000000001,1,10,7,8
腌笃鲜,腌笃鲜,徽菜,0.685,2,10,9,13
淮南牛肉汤+发面葱油饼,淮南牛肉汤+发面葱油饼,徽菜,0.685,1,1,20,23
骨头汤泡炒米,骨头汤泡炒米,徽菜,0.7350000000000001,1,1,7,8
酒菠萝版腌笃鲜,酒菠萝版腌笃鲜,徽菜,0.6512500000000001,1,1,8,15
腊肉版腌笃鲜,腊肉版腌笃鲜,徽菜,0.685,1,1,8,11
清明菜粑粑,清明菜粑粑,徽菜,0.7050000000000001,1,1,6,10
粉蒸肉,粉蒸肉,徽菜,0.5635714285714286,1,1,7,7
朱洪武豆腐,朱洪武豆腐,徽菜,0.6646428571428572,1,1,14,26
火腿炒红椒,火腿炒红椒,徽菜,0.6,1,1,6,5
臭鳜鱼,臭鳜鱼,徽菜,0.5533333333333332,1,1,9,4
鱼咬羊,鱼咬羊,徽菜,0.69625,1,1,12,13
梅干菜烧肉,梅干菜烧肉,徽菜,0.6278571428571429,1,1,7,11
红烧臭鳜鱼,红烧臭鳜鱼,徽菜,0.73,1,1,14,4
香肠肉松粢饭,香肠肉松粢饭,徽菜,0.57125,1,1,4,6
凉拌猪心,凉拌猪心,徽菜,0.46499999999999997,1,1,7,4
麻辣小龙虾,麻辣小龙虾,徽菜,0.7266666666666666,1,1,9,5
蒸香菇盒,蒸香菇盒,徽菜,0.5549999999999999,1,1,7,3
梅干菜烧饼,梅干菜烧饼,徽菜,0.685,1,2,12,15
梅干菜饼,梅干菜烧饼,徽菜,0.635,2,2,4,10
红烧肉,红烧肉,徽菜,0.7,1,6,8,9
红烧肉,红烧肉,徽菜,0.6942857142857143,2,6,7,11
徽派魔芋烧鱼,徽派魔芋烧鱼,徽菜,0.64,1,1,9,3
香煎藕饼,香煎藕饼,徽菜,0.7150000000000001,1,1,8,10
秘制红烧肉,秘制红烧肉,徽菜,0.6625000000000001,1,1,10,20
红烧猪蹄,红烧猪蹄,徽菜,0.685,1,1,9,8
私家红烧肉,私家红烧肉,徽菜,0.7225,1,1,10,10
鸡膀根炖土豆,鸡膀根炖土豆,徽菜,0.5871428571428572,1,1,7,5
香辣红烧肉,香辣红烧肉,徽菜,0.72,1,1,7,4
徽州臭鳜鱼,徽州臭鳜鱼,徽菜,0.679375,1,1,8,3
高升排骨,高升排骨,徽菜,0.675,1,1,5,6
家传红烧肉,家传红烧肉,徽菜,0.61,1,1,10,8
毛豆腐,毛豆腐,徽菜,0.62,1,1,3,9
葫芦膜膜,葫芦膜膜,徽菜,0.5800000000000001,1,1,3,4
肉丝酸菜炒秀珍菇,肉丝酸菜炒秀珍菇,徽菜,0.5700000000000001,1,1,5,8
圆素鸡烧龙骨,圆素鸡烧龙骨,徽菜,0.6214285714285714,1,1,7,12
香煎虾饼,香煎虾饼,徽菜,0.7150000000000001,1,1,8,5
家常红烧肉,家常红烧肉,徽菜,0.6399999999999999,1,1,10,10
